Table 4.1 MPI results by rural and urban areas,,,,,,,,,,,,,,,,,,,,,,,,,
This table reports the MPI estimates for rural and urban areas. Table is sorted by country (alphabetically). Estimates can deviate from Table 1.1 due to missing values on rural or urban information. ,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Alkire, S., Kanagaratnam, U. and Suppa, N. (2018). ‘The Global Multidimensional Poverty Index (MPI): 2018 revision’, OPHI MPI Methodological Notes 46, Oxford Poverty and Human Development Initiative, University of Oxford.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"ISO
country numeric code","ISO
country code",Country,World region,MPI data source,,Area (rural/urban),MPI of the country,,Multidimensional poverty by rural or urban areas,,,,,,Total population by countryᵃ,,,,Population 2016 ,,,,"Indicators included 
in the MPI",,
51,ARM,Armenia,Europe and Central Asia,DHS,2015-2016,Urban,0.001,,0.000,0.00,,1.22,0.00,,"2,925","2,917","2,925",,0.59,"1,716",0,,10,,
51,ARM,Armenia,Europe and Central Asia,DHS,2015-2016,Rural,0.001,,0.002,0.45,36.21,4.87,0.00,,"2,925","2,917","2,925",,0.41,"1,209",5,,10,,
31,AZE,Azerbaijan,Europe and Central Asia,DHS,2006,Urban,0.019,,0.008,2.07,37.54,7.88,0.17,,"8,630","9,617","9,725",,0.55,"5,347",111,,10,,
31,AZE,Azerbaijan,Europe and Central Asia,DHS,2006,Rural,0.019,,0.032,8.37,38.67,17.39,0.95,,"8,630","9,617","9,725",,0.45,"4,378",366,,10,,
50,BGD,Bangladesh,South Asia,DHS,2014,Urban,0.194,,0.100,22.42,44.80,20.06,7.40,,"159,405","161,201","162,952",,0.27,"44,005","9,865",,10,,
50,BGD,Bangladesh,South Asia,DHS,2014,Rural,0.194,,0.229,47.96,47.77,22.09,19.46,,"159,405","161,201","162,952",,0.73,"118,946","57,052",,10,,
52,BRB,Barbados,Latin America and Caribbean,MICS,2012,Urban,0.009,,0.009,2.64,34.08,0.34,0.00,,282,284,285,,0.63,179,5,,9,Child mortality,
52,BRB,Barbados,Latin America and Caribbean,MICS,2012,Rural,0.009,,0.008,2.24,34.53,0.74,0.00,,282,284,285,,0.37,106,2,,9,Child mortality,
84,BLZ,Belize,Latin America and Caribbean,MICS,2015-2016,Urban,0.017,,0.003,0.85,36.08,4.41,0.00,,367,359,367,,0.42,155,1,,10,,
84,BLZ,Belize,Latin America and Caribbean,MICS,2015-2016,Rural,0.017,,0.028,6.91,40.15,11.44,1.12,,367,359,367,,0.58,212,15,,10,,
204,BEN,Benin,Sub-Saharan Africa,MICS,2014,Urban,0.346,,0.227,44.21,51.26,19.63,22.13,,"10,287","10,576","10,872",,0.46,"4,948","2,188",,10,,
204,BEN,Benin,Sub-Saharan Africa,MICS,2014,Rural,0.346,,0.446,79.12,56.38,13.09,51.34,,"10,287","10,576","10,872",,0.54,"5,924","4,687",,10,,
64,BTN,Bhutan,South Asia,MICS,2010,Urban,0.175,,0.037,9.35,39.48,10.47,1.51,,728,787,798,,0.28,225,21,,10,,
64,BTN,Bhutan,South Asia,MICS,2010,Rural,0.175,,0.229,48.36,47.39,20.51,19.86,,728,787,798,,0.72,572,277,,10,,
68,BOL,Bolivia,Latin America and Caribbean,DHS,2008,Urban,0.094,,0.017,4.11,41.00,10.44,0.75,,"9,600","10,725","10,888",,0.59,"6,442",265,,10,,
68,BOL,Bolivia,Latin America and Caribbean,DHS,2008,Rural,0.094,,0.206,44.13,46.64,23.19,16.32,,"9,600","10,725","10,888",,0.41,"4,446","1,962",,10,,
70,BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,Urban,0.008,,0.009,2.42,36.25,1.67,0.04,,"3,648","3,536","3,517",,0.34,"1,203",29,,9,Child mortality,
70,BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,Rural,0.008,,0.008,2.07,38.95,5.32,0.07,,"3,648","3,536","3,517",,0.66,"2,314",48,,9,Child mortality,
76,BRA,Brazil,Latin America and Caribbean,PNAD,2015,Urban,0.016,,0.009,1.98,43.20,3.90,0.49,,"205,962","205,962","207,653",,0.85,"175,899","3,475",,9,Nutrition,
76,BRA,Brazil,Latin America and Caribbean,PNAD,2015,Rural,0.016,,0.060,14.18,42.04,19.03,3.40,,"205,962","205,962","207,653",,0.15,"31,754","4,502",,9,Nutrition,
854,BFA,Burkina Faso,Sub-Saharan Africa,DHS,2010,Urban,0.520,,0.218,44.92,48.55,20.89,20.85,,"15,605","18,111","18,646",,0.22,"4,063","1,825",,10,,
854,BFA,Burkina Faso,Sub-Saharan Africa,DHS,2010,Rural,0.520,,0.604,94.90,63.69,3.48,77.10,,"15,605","18,111","18,646",,0.78,"14,584","13,840",,10,,
108,BDI,Burundi,Sub-Saharan Africa,DHS,2016-2017,Urban,0.404,,0.138,29.08,47.40,28.95,12.40,,"10,864","10,199","10,524",,0.11,"1,150",334,,10,,
108,BDI,Burundi,Sub-Saharan Africa,DHS,2016-2017,Rural,0.404,,0.437,79.88,54.65,14.67,49.42,,"10,864","10,199","10,524",,0.89,"9,374","7,488",,10,,
116,KHM,Cambodia,East Asia and the Pacific,DHS,2014,Urban,0.158,,0.029,7.16,40.79,13.59,1.22,,"15,271","15,518","15,762",,0.16,"2,540",182,,10,,
116,KHM,Cambodia,East Asia and the Pacific,DHS,2014,Rural,0.158,,0.183,40.21,45.44,22.48,14.11,,"15,271","15,518","15,762",,0.84,"13,223","5,317",,10,,
120,CMR,Cameroon,Sub-Saharan Africa,MICS,2014,Urban,0.244,,0.084,18.02,46.58,16.02,6.58,,"22,240","22,835","23,439",,0.48,"11,179","2,014",,10,,
120,CMR,Cameroon,Sub-Saharan Africa,MICS,2014,Rural,0.244,,0.389,70.36,55.35,18.50,43.35,,"22,240","22,835","23,439",,0.52,"12,260","8,627",,10,,
140,CAF,Central African Republic,Sub-Saharan Africa,MICS,2010,Urban,0.465,,0.309,59.81,51.60,21.85,31.80,,"4,449","4,546","4,595",,0.38,"1,764","1,055",,10,,
140,CAF,Central African Republic,Sub-Saharan Africa,MICS,2010,Rural,0.465,,0.562,91.54,61.42,7.68,69.01,,"4,449","4,546","4,595",,0.62,"2,830","2,591",,10,,
148,TCD,Chad,Sub-Saharan Africa,DHS,2014-2015,Urban,0.535,,0.325,61.48,52.90,19.32,33.32,,"14,009","14,009","14,453",,0.22,"3,186","1,959",,10,,
148,TCD,Chad,Sub-Saharan Africa,DHS,2014-2015,Rural,0.535,,0.594,92.76,64.04,7.04,75.44,,"14,009","14,009","14,453",,0.78,"11,266","10,450",,10,,
156,CHN,China,East Asia and the Pacific,CFPS,2014,Urban,0.017,,0.008,2.11,38.43,11.06,0.08,,"1,390,110","1,397,029","1,403,500",,0.55,"775,934","16,375",,9,Housing,
156,CHN,China,East Asia and the Pacific,CFPS,2014,Rural,0.017,,0.027,6.39,42.58,26.51,0.68,,"1,390,110","1,397,029","1,403,500",,0.45,"627,567","40,131",,9,Housing,
170,COL,Colombia,Latin America and Caribbean,DHS,2015-2016,Urban,0.021,,0.004,1.02,37.68,1.95,0.11,,"48,653","48,229","48,653",,0.76,"37,020",378,,9,Nutrition,
170,COL,Colombia,Latin America and Caribbean,DHS,2015-2016,Rural,0.021,,0.074,17.80,41.33,19.63,3.40,,"48,653","48,229","48,653",,0.24,"11,634","2,071",,9,Nutrition,
174,COM,Comoros,Sub-Saharan Africa,DHS-MICS,2012,Urban,0.181,,0.087,18.86,46.16,21.03,7.64,,724,777,796,,0.31,249,47,,10,,
174,COM,Comoros,Sub-Saharan Africa,DHS-MICS,2012,Rural,0.181,,0.224,45.81,48.98,22.75,20.12,,724,777,796,,0.69,546,250,,10,,
178,COG,Congo,Sub-Saharan Africa,DHS,2011-2012,Urban,0.185,,0.106,25.07,42.23,26.50,6.10,,"4,633","4,996","5,126",,0.64,"3,262",818,,10,,
178,COG,Congo,Sub-Saharan Africa,DHS,2011-2012,Rural,0.185,,0.323,67.27,47.98,24.32,31.91,,"4,633","4,996","5,126",,0.36,"1,864","1,254",,10,,
180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,DHS,2013-2014,Urban,0.378,,0.208,44.27,46.99,27.81,18.36,,"73,723","76,197","78,736",,0.33,"25,854","11,446",,10,,
180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,DHS,2013-2014,Rural,0.378,,0.461,86.24,53.48,12.74,53.91,,"73,723","76,197","78,736",,0.67,"52,882","45,604",,10,,
384,CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Urban,0.236,,0.085,18.81,45.12,20.32,6.26,,"23,696","23,108","23,696",,0.47,"11,157","2,098",,10,,
384,CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,Rural,0.236,,0.371,70.39,52.67,15.12,40.74,,"23,696","23,108","23,696",,0.53,"12,539","8,827",,10,,
262,DJI,Djibouti,Arab States,MICS,2006,Urban,0.170,,0.158,32.58,48.36,18.83,13.92,,796,927,942,,0.96,907,296,,10,,
262,DJI,Djibouti,Arab States,MICS,2006,Rural,0.170,,0.480,87.21,55.07,10.07,60.97,,796,927,942,,0.04,35,31,,10,,
214,DOM,Dominican Republic,Latin America and Caribbean,MICS,2014,Urban,0.016,,0.011,2.92,37.61,3.62,0.27,,"10,406","10,528","10,649",,0.75,"7,987",233,,9,Nutrition,
214,DOM,Dominican Republic,Latin America and Caribbean,MICS,2014,Rural,0.016,,0.032,7.83,40.23,9.88,1.16,,"10,406","10,528","10,649",,0.25,"2,662",208,,9,Nutrition,
218,ECU,Ecuador,Latin America and Caribbean,ECV,2013-2014,Urban,0.018,,0.006,1.66,37.01,4.31,0.12,,"15,903","16,144","16,385",,0.68,"11,084",184,,10,,
218,ECU,Ecuador,Latin America and Caribbean,ECV,2013-2014,Rural,0.018,,0.043,10.41,40.98,14.32,2.30,,"15,903","16,144","16,385",,0.32,"5,301",552,,10,,
818,EGY,Egypt,Arab States,DHS,2014,Urban,0.020,,0.012,3.38,35.75,1.39,0.36,,"91,813","93,778","95,689",,0.37,"35,556","1,202",,9,Cooking fuel,
818,EGY,Egypt,Arab States,DHS,2014,Rural,0.020,,0.024,6.30,38.16,8.86,0.71,,"91,813","93,778","95,689",,0.63,"60,133","3,790",,9,Cooking fuel,
222,SLV,El Salvador,Latin America and Caribbean,MICS,2014,Urban,0.033,,0.012,2.94,41.11,5.78,0.69,,"6,281","6,312","6,345",,0.61,"3,868",114,,10,,
222,SLV,El Salvador,Latin America and Caribbean,MICS,2014,Rural,0.033,,0.065,15.77,41.36,16.44,3.24,,"6,281","6,312","6,345",,0.39,"2,477",391,,10,,
748,SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,Urban,0.083,,0.023,5.63,41.26,12.68,0.93,,"1,295","1,319","1,343",,0.26,352,20,,10,,
748,SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,Rural,0.083,,0.104,24.54,42.44,23.84,5.67,,"1,295","1,319","1,343",,0.74,991,243,,10,,
231,ETH,Ethiopia,Sub-Saharan Africa,DHS,2016,Urban,0.490,,0.164,37.79,43.35,18.63,11.08,,"102,403","99,873","102,403",,0.15,"15,716","5,939",,10,,
231,ETH,Ethiopia,Sub-Saharan Africa,DHS,2016,Rural,0.490,,0.549,92.17,59.58,6.91,71.04,,"102,403","99,873","102,403",,0.85,"86,687","79,895",,10,,
266,GAB,Gabon,Sub-Saharan Africa,DHS,2012,Urban,0.067,,0.036,8.56,41.84,16.55,1.77,,"1,757","1,930","1,980",,0.84,"1,662",142,,10,,
266,GAB,Gabon,Sub-Saharan Africa,DHS,2012,Rural,0.067,,0.228,48.97,46.63,23.29,20.74,,"1,757","1,930","1,980",,0.16,317,155,,10,,
270,GMB,Gambia,Sub-Saharan Africa,DHS,2013,Urban,0.286,,0.154,33.04,46.64,28.32,13.33,,"1,859","1,978","2,039",,0.50,"1,009",334,,10,,
270,GMB,Gambia,Sub-Saharan Africa,DHS,2013,Rural,0.286,,0.416,77.10,53.98,15.32,50.38,,"1,859","1,978","2,039",,0.50,"1,029",794,,10,,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2014,Urban,0.132,,0.053,12.76,41.56,20.72,2.62,,"26,963","27,583","28,207",,0.49,"13,940","1,778",,10,,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2014,Rural,0.132,,0.208,44.71,46.57,22.09,16.41,,"26,963","27,583","28,207",,0.51,"14,267","6,379",,10,,
320,GTM,Guatemala,Latin America and Caribbean,DHS,2014-2015,Urban,0.134,,0.054,12.15,44.25,18.00,3.94,,"16,252","16,252","16,582",,0.42,"7,009",851,,10,,
320,GTM,Guatemala,Latin America and Caribbean,DHS,2014-2015,Rural,0.134,,0.194,41.46,46.68,23.34,16.67,,"16,252","16,252","16,582",,0.58,"9,573","3,969",,10,,
324,GIN,Guinea,Sub-Saharan Africa,MICS,2016,Urban,0.337,,0.116,26.15,44.21,27.99,7.73,,"12,396","12,092","12,396",,0.39,"4,787","1,252",,10,,
324,GIN,Guinea,Sub-Saharan Africa,MICS,2016,Rural,0.337,,0.477,84.47,56.45,10.32,57.24,,"12,396","12,092","12,396",,0.61,"7,609","6,427",,10,,
624,GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2014,Urban,0.373,,0.194,42.51,45.71,28.21,14.73,,"1,726","1,771","1,816",,0.44,803,341,,10,,
624,GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2014,Rural,0.373,,0.515,87.17,59.09,11.80,60.88,,"1,726","1,771","1,816",,0.56,"1,012",883,,10,,
328,GUY,Guyana,Latin America and Caribbean,MICS,2014,Urban,0.014,,0.002,0.40,39.84,3.08,0.06,,763,769,773,,0.26,204,1,,10,,
328,GUY,Guyana,Latin America and Caribbean,MICS,2014,Rural,0.014,,0.019,4.43,41.95,6.87,0.92,,763,769,773,,0.74,569,25,,10,,
332,HTI,Haiti,Latin America and Caribbean,DHS,2012,Urban,0.231,,0.097,22.36,43.25,21.23,5.87,,"10,289","10,711","10,847",,0.40,"4,346",972,,10,,
332,HTI,Haiti,Latin America and Caribbean,DHS,2012,Rural,0.231,,0.321,64.46,49.82,19.86,33.65,,"10,289","10,711","10,847",,0.60,"6,501","4,191",,10,,
340,HND,Honduras,Latin America and Caribbean,DHS,2011-2012,Urban,0.090,,0.024,5.65,43.17,13.04,1.28,,"8,506","8,961","9,113",,0.48,"4,384",248,,9,Electricity,
340,HND,Honduras,Latin America and Caribbean,DHS,2011-2012,Rural,0.090,,0.152,32.32,46.91,30.65,11.54,,"8,506","8,961","9,113",,0.52,"4,729","1,528",,9,Electricity,
356,IND,India,South Asia,DHS,2015-2016,Urban,0.121,,0.039,9.05,42.57,13.66,2.38,,"1,324,171","1,309,054","1,324,171",,0.33,"432,686","39,145",,10,,
356,IND,India,South Asia,DHS,2015-2016,Rural,0.121,,0.161,36.46,44.07,21.77,11.61,,"1,324,171","1,309,054","1,324,171",,0.67,"891,486","325,080",,10,,
360,IDN,Indonesia,East Asia and the Pacific,DHS,2012,Urban,0.029,,0.011,2.98,37.56,3.83,0.21,,"248,883","258,162","261,115",,0.50,"129,918","3,871",,9,Nutrition,
360,IDN,Indonesia,East Asia and the Pacific,DHS,2012,Rural,0.029,,0.047,11.47,41.20,14.32,2.25,,"248,883","258,162","261,115",,0.50,"131,198","15,051",,9,Nutrition,
368,IRQ,Iraq,Arab States,MICS,2011,Urban,0.059,,0.036,9.81,36.92,3.78,1.25,,"31,727","36,116","37,203",,0.70,"26,090","2,560",,10,,
368,IRQ,Iraq,Arab States,MICS,2011,Rural,0.059,,0.111,26.04,42.73,17.58,7.09,,"31,727","36,116","37,203",,0.30,"11,113","2,893",,10,,
388,JAM,Jamaica,Latin America and Caribbean,JSLC,2014,Urban,0.018,,0.014,3.58,39.47,3.47,0.79,,"2,862","2,872","2,881",,0.53,"1,532",55,,9,Child mortality,
388,JAM,Jamaica,Latin America and Caribbean,JSLC,2014,Rural,0.018,,0.023,5.94,38.22,9.75,0.84,,"2,862","2,872","2,881",,0.47,"1,349",80,,9,Child mortality,
400,JOR,Jordan,Arab States,DHS,2012,Urban,0.005,,0.004,1.27,34.81,0.77,0.08,,"7,993","9,159","9,456",,0.82,"7,737",98,,10,,
400,JOR,Jordan,Arab States,DHS,2012,Rural,0.005,,0.005,1.41,38.26,1.73,0.10,,"7,993","9,159","9,456",,0.18,"1,718",24,,10,,
398,KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,Urban,0.002,,0.001,0.19,33.65,0.73,0.00,,"17,750","17,750","17,988",,0.53,"9,567",18,,10,,
398,KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,Rural,0.002,,0.003,0.75,36.09,2.97,0.00,,"17,750","17,750","17,988",,0.47,"8,421",64,,10,,
404,KEN,Kenya,Sub-Saharan Africa,DHS,2014,Urban,0.179,,0.085,20.35,41.86,25.74,4.37,,"46,024","47,236","48,462",,0.34,"16,492","3,356",,10,,
404,KEN,Kenya,Sub-Saharan Africa,DHS,2014,Rural,0.179,,0.227,48.43,46.92,39.35,18.13,,"46,024","47,236","48,462",,0.66,"31,969","15,481",,10,,
417,KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2014,Urban,0.008,,0.001,0.30,38.02,4.27,0.05,,"5,775","5,865","5,956",,0.32,"1,888",6,,10,,
417,KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2014,Rural,0.008,,0.012,3.21,36.24,10.23,0.03,,"5,775","5,865","5,956",,0.68,"4,067",130,,10,,
418,LAO,Laos,East Asia and the Pacific,MICS-DHS,2011-2012,Urban,0.211,,0.041,9.26,44.70,18.84,3.13,,"6,415","6,664","6,758",,0.25,"1,721",159,,10,,
418,LAO,Laos,East Asia and the Pacific,MICS-DHS,2011-2012,Rural,0.211,,0.269,51.17,52.62,18.67,28.45,,"6,415","6,664","6,758",,0.75,"5,037","2,577",,10,,
426,LSO,Lesotho,Sub-Saharan Africa,DHS,2014,Urban,0.146,,0.042,10.96,38.67,13.55,1.41,,"2,146","2,175","2,204",,0.28,614,67,,10,,
426,LSO,Lesotho,Sub-Saharan Africa,DHS,2014,Rural,0.146,,0.186,42.39,43.93,28.70,11.38,,"2,146","2,175","2,204",,0.72,"1,590",674,,10,,
430,LBR,Liberia,Sub-Saharan Africa,DHS,2013,Urban,0.331,,0.245,52.10,47.09,24.60,20.24,,"4,286","4,500","4,614",,0.56,"2,564","1,336",,10,,
430,LBR,Liberia,Sub-Saharan Africa,DHS,2013,Rural,0.331,,0.437,80.91,54.04,15.14,49.31,,"4,286","4,500","4,614",,0.44,"2,050","1,658",,10,,
434,LBY,Libya,Arab States,PAPFAM,2014,Urban,0.007,,0.007,1.98,37.05,11.08,0.08,,"6,204","6,235","6,293",,0.88,"5,530",109,,10,,
434,LBY,Libya,Arab States,PAPFAM,2014,Rural,0.007,,0.007,1.93,37.12,12.95,0.10,,"6,204","6,235","6,293",,0.12,764,15,,10,,
450,MDG,Madagascar,Sub-Saharan Africa,DHS,2008-2009,Urban,0.453,,0.172,36.28,47.40,22.73,14.58,,"20,569","24,234","24,895",,0.14,"3,515","1,275",,10,,
450,MDG,Madagascar,Sub-Saharan Africa,DHS,2008-2009,Rural,0.453,,0.499,84.62,59.00,9.98,64.27,,"20,569","24,234","24,895",,0.86,"21,379","18,090",,10,,
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,Urban,0.244,,0.087,20.85,41.94,24.74,3.85,,"18,092","17,574","18,092",,0.14,"2,591",540,,10,,
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,Rural,0.244,,0.270,58.06,46.47,28.96,20.96,,"18,092","17,574","18,092",,0.86,"15,501","8,999",,10,,
462,MDV,Maldives,South Asia,DHS,2009,Urban,0.007,,0.002,0.50,35.59,1.12,0.00,,355,418,428,,0.31,134,1,,10,,
462,MDV,Maldives,South Asia,DHS,2009,Rural,0.007,,0.009,2.51,36.70,7.23,0.10,,355,418,428,,0.69,293,7,,10,,
466,MLI,Mali,Sub-Saharan Africa,MICS,2015,Urban,0.457,,0.190,39.62,47.95,26.89,16.45,,"17,468","17,468","17,995",,0.22,"3,922","1,554",,10,,
466,MLI,Mali,Sub-Saharan Africa,MICS,2015,Rural,0.457,,0.532,88.84,59.84,6.38,67.88,,"17,468","17,468","17,995",,0.78,"14,073","12,502",,10,,
478,MRT,Mauritania,Sub-Saharan Africa,MICS,2015,Urban,0.261,,0.117,25.65,45.44,18.57,8.80,,"4,182","4,182","4,301",,0.47,"2,043",524,,10,,
478,MRT,Mauritania,Sub-Saharan Africa,MICS,2015,Rural,0.261,,0.392,73.17,53.55,18.55,42.40,,"4,182","4,182","4,301",,0.53,"2,258","1,652",,10,,
484,MEX,Mexico,Latin America and Caribbean,ENSANUT,2016,Urban,0.025,,0.019,5.20,37.41,2.85,0.57,,"127,540","125,891","127,540",,0.76,"97,195","5,054",,9,Child mortality,
484,MEX,Mexico,Latin America and Caribbean,ENSANUT,2016,Rural,0.025,,0.042,9.91,42.25,10.78,2.47,,"127,540","125,891","127,540",,0.24,"30,345","3,007",,9,Child mortality,
498,MDA,Moldova,Europe and Central Asia,MICS,2012,Urban,0.004,,0.002,0.51,43.77,1.57,0.17,,"4,074","4,066","4,060",,0.36,"1,472",8,,10,,
498,MDA,Moldova,Europe and Central Asia,MICS,2012,Rural,0.004,,0.004,1.19,35.89,4.81,0.00,,"4,074","4,066","4,060",,0.64,"2,587",31,,10,,
496,MNG,Mongolia,East Asia and the Pacific,MICS,2013,Urban,0.043,,0.013,3.67,36.42,7.45,0.20,,"2,869","2,977","3,027",,0.63,"1,920",70,,10,,
496,MNG,Mongolia,East Asia and the Pacific,MICS,2013,Rural,0.043,,0.093,21.65,43.17,39.41,3.96,,"2,869","2,977","3,027",,0.37,"1,107",240,,10,,
499,MNE,Montenegro,Europe and Central Asia,MICS,2013,Urban,0.002,,0.002,0.38,50.35,2.34,0.18,,627,628,629,,0.63,394,1,,10,,
499,MNE,Montenegro,Europe and Central Asia,MICS,2013,Rural,0.002,,0.001,0.39,38.04,7.50,0.06,,627,628,629,,0.37,235,1,,10,,
504,MAR,Morocco,Arab States,PAPFAM,2011,Urban,0.085,,0.015,3.97,37.74,6.14,0.48,,"32,859","34,803","35,277",,0.55,"19,497",773,,10,,
504,MAR,Morocco,Arab States,PAPFAM,2011,Rural,0.085,,0.171,36.61,46.75,21.81,13.91,,"32,859","34,803","35,277",,0.45,"15,780","5,776",,10,,
508,MOZ,Mozambique,Sub-Saharan Africa,DHS,2011,Urban,0.412,,0.203,39.84,50.84,21.88,19.57,,"24,939","28,011","28,829",,0.31,"9,004","3,587",,10,,
508,MOZ,Mozambique,Sub-Saharan Africa,DHS,2011,Rural,0.412,,0.507,87.39,57.98,9.75,62.72,,"24,939","28,011","28,829",,0.69,"19,825","17,326",,10,,
104,MMR,Myanmar,East Asia and the Pacific,DHS,2015-2016,Urban,0.176,,0.050,11.93,41.92,17.12,2.94,,"52,885","52,404","52,885",,0.26,"14,014","1,672",,10,,
104,MMR,Myanmar,East Asia and the Pacific,DHS,2015-2016,Rural,0.176,,0.222,47.87,46.27,23.62,17.83,,"52,885","52,404","52,885",,0.74,"38,871","18,608",,10,,
516,NAM,Namibia,Sub-Saharan Africa,DHS,2013,Urban,0.183,,0.073,17.26,42.04,15.83,4.73,,"2,317","2,426","2,480",,0.47,"1,170",202,,10,,
516,NAM,Namibia,Sub-Saharan Africa,DHS,2013,Rural,0.183,,0.282,61.44,45.83,22.31,20.16,,"2,317","2,426","2,480",,0.53,"1,310",805,,10,,
524,NPL,Nepal,South Asia,DHS,2016,Urban,0.154,,0.113,26.50,42.71,24.05,7.83,,"28,983","28,656","28,983",,0.59,"17,226","4,565",,10,,
524,NPL,Nepal,South Asia,DHS,2016,Rural,0.154,,0.213,48.07,44.28,24.73,18.08,,"28,983","28,656","28,983",,0.41,"11,757","5,652",,10,,
558,NIC,Nicaragua,Latin America and Caribbean,DHS,2011-2012,Urban,0.074,,0.009,2.39,39.19,6.52,0.31,,"5,877","6,082","6,150",,0.57,"3,493",83,,10,,
558,NIC,Nicaragua,Latin America and Caribbean,DHS,2011-2012,Rural,0.074,,0.158,34.60,45.73,22.07,12.36,,"5,877","6,082","6,150",,0.43,"2,657",919,,10,,
562,NER,Niger,Sub-Saharan Africa,DHS,2012,Urban,0.591,,0.296,57.83,51.11,18.25,31.67,,"17,732","19,897","20,673",,0.16,"3,309","1,914",,10,,
562,NER,Niger,Sub-Saharan Africa,DHS,2012,Rural,0.591,,0.648,96.83,66.90,2.47,83.12,,"17,732","19,897","20,673",,0.84,"17,364","16,813",,10,,
566,NGA,Nigeria,Sub-Saharan Africa,MICS,2016-2017,Urban,0.294,,0.114,23.90,47.76,19.56,9.15,,"190,886","181,182","185,990",,0.34,"62,369","14,908",,10,,
